2026-06-11 17:13:45 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=RGscOWLsTGs -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Veerwar_Peer_Super_Hit_Bhajans___NonStop_JUKEBOX_-786__ਪੀਰਾਂ_ਦੇ_ਭਜਨ__MUSIC_PEARL.mp3
2026-06-11 17:36:39 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=VU7MjxqfEsg -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Peera_Dar_Chalu_Tere_Nal_(Official_Video)_Gurlal_Heera_ft._Miss_Preet__New_Lates.mp3
2026-06-11 17:36:43 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=Axxw2_Qt3h4 -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Sayian_Teri_Mehar__K_Kuldeep__Ghulla_Sarhale_Wala__Preet_Balihar__Peer_Nigahe_Wa.mp3
2026-06-11 17:36:44 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=Pox_WjuweGE -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਪੀਰ_ਲਾਲਾਂ_ਵਾਲਾ_ਵੰਡਦਾ_ਮੁਰਾਦਾਂ_ਆਉਂਦਾby_Jassa_Khan__peera_de_jass_punjabi__jass_pun.mp3
2026-06-11 17:36:45 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=sCjbYJCZX-o -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਪੀਰਾਂ_ਦੇ_ਸੋਹਣੇ_ਗੀਤ__Non_Stop__peera_De_Geet__AB_king.mp3
2026-06-11 17:36:48 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=I4DVbljhvIY -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਸਬ_ਤੋ_ਜਿਆਦਾ_ਸੁਣੀ_ਜਾਨ_ਵਾਲੀ_ਆਰਤੀ__ਪੀਰਾਂ_ਦੀ_ਆਰਤੀ__Satpal_Wilasra__Peera__Di_Ardas.mp3
2026-06-11 17:36:50 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=mKcrUxeeUGc -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Rabb_Kandane_Ghumda_ਰੱਬ_ਕਡਿਆਣੇ_ਘੁੰਮਦਾ_D_R_MOMI_(Official_Video)_Preet_Balihar__J.mp3
2026-06-11 17:36:55 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=nwEmqCzss1c -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Paake_Boliya_Nachna_Ni_Main_Dar_Te_Peera_DePeera_De_JasJagtar_ThanaPeera_De_Jas.mp3
2026-06-11 17:36:56 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=eKHVQuozmWw -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/peera_de_jass__जस__पीरा_दे___Non_Stop__Teji_Khan_&_Jassa_Khan__New_peera_de_jass.mp3
2026-06-11 17:37:03 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=YK34bnwXS5o -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/BHULI_JANIA_FAQEERA_TERA_RAAH_TEJI_KHAN_JASSA_KHAN_JASSA_PEERA_DE.mp3
2026-06-11 17:37:12 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=HdGsnZ9LI7E -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਸਿਰਫ_11_ਮਿੰਟ_ਲਾ_ਕੇ_ਛੱਡ_ਦਿਓ_ਫੇਰ_ਦੇਖੋ_ਚਮਤਕਾਰ__ਲਾਲਾਂ_ਵਾਲੇ_ਕੋਟਲੇ_ਵਾਲੇ_ਤੇ_ਗਿਆਰਵੀ_ਵਾਲੇ.mp3
2026-06-11 17:37:16 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=Mfbmtrx5xKw -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਕਿਰਪਾ_ਪੀਰਾ_ਤੇਰੀ__Nonstop_Kolte_Wale_Peer_De_Jass__ਨਾਨਸਟਾਪ_ਪੀਰ_ਮਲੇਰਾ_ਵਾਲੇ_ਦੇ_ਜੱਸ.mp3
2026-06-11 17:37:20 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=KC_06RmlZng -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਸਿਰਫ_11_ਮਿੰਟ_ਇਹ_ਜੱਸ_ਚਲਾ_ਦਿਓ_ਘਰ_ਵਿੱਚ_ਕੀਤਾ_ਕਰਵਾਇਆ_ਹੋਵੇਗਾ_ਦੂਰ__Nonstop_Peeran_De_Ja.mp3
2026-06-11 17:37:22 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=5sXFONTE53Q -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Non_Stop_Jass_Peera_De__Peer_Kotla_Wala__Peera_De_Jass_ਪੌਣ_ਚੱਲੀ_ਸਮਝੋ__Chetan_Lak.mp3
2026-06-11 17:37:24 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=-wmsLySIsTU -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਗੱਦੀ_ਵਾਲਿਆ_ਬਜ਼ੁਰਗਾ_ਵੇ__ਸਿਰਫ_02_ਮਿੰਟ_Nonstop_Jass_Peera_Da__Mp3_Peeran_De_Jass__G.mp3
2026-06-11 17:37:27 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=OpIZ66oMJiI -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Aaja_Peera_Mereya__Sandeep_Udhanwal_Goldy_Adoana__New_Bhajan__BSD_Production.mp3
2026-06-11 17:37:28 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=JDnVTjxcqrw -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Thursday_Special_Peer_Qawwali__NON-STOP_JUKEBOX_-786__ਸੂਫੀ_ਕਵਾੱਲੀਆਂ__पीरा_क़्वालि.mp3
2026-06-11 17:37:29 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=bOB6ECeviMc -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/AAJ_MERE_PEERA_NE_AUNA__Balvir_Bangalipuria__Pamma_Charakiyan_Wala__PEER_NIGAHA.mp3
2026-06-11 17:37:30 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=AtihQfCR00o -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/December_12,_2024.mp3
2026-06-11 17:37:31 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=RGscOWLsTGs -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Veerwar_Peer_Super_Hit_Bhajans___NonStop_JUKEBOX_-786__ਪੀਰਾਂ_ਦੇ_ਭਜਨ__MUSIC_PEARL.mp3
2026-06-11 17:37:32 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=R1hOD5o3mo0 -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/ਤੇਰੇ_ਦਰ_ਬਾਝੋਂ_ਪੀਰਾ__Rinku_Chandiani__Subhash_Katwara__Peer_Lakh_Data_New_Song_20.mp3
2026-06-11 17:37:36 | INFO     | src.downloader:download_audio:125 | Downloaded: https://www.youtube.com/watch?v=VXg30z3kGow -> /Users/gurwinder/Developer/Appmotiv/yt-to-mp3/audiofetch/downloads/Tenu_Mangna_Na_Aawe_Qawali__Meera_Gonuspak_Ji_#GhousPakPeerJiQawali_#nakodar.mp3
